timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T05:09:32.961Z,0.9828057175854017,1.0017759681192064,0.9875482802188529,0.9828057175854017,0.004742562633451186,0.009875482802188529,0.009828057175854017,4.742562633451228e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:37.963Z,1.9549213952271502,1.0011471613168546,1.7164778367495763,1.9549213952271502,-0.23844355847757392,0.025747167551243646,0.029323820928407254,-0.0035766533771636085,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:09:42.965Z,1.9528060435208265,1.0009305143796932,1.714837161235543,1.9528060435208265,-0.23796888228528346,0.025722557418533146,0.029292090652812398,-0.003569533234279252,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:09:47.965Z,1.9692655832217119,1.0009305143796932,1.7271818160112071,1.9692655832217119,-0.24208376721050473,0.025907727240168106,0.029538983748325677,-0.003631256508157571,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:09:52.967Z,2.0585334459177407,1.0009305143796932,1.7941327130332287,2.0585334459177407,-0.26440073288451194,0.02691199069549843,0.03,-0.003088009304501569,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:09:57.968Z,2.078733392325598,1.0005624296962878,1.8091906516682705,2.078733392325598,-0.2695427406573274,0.02713785977502406,0.03,-0.00286214022497594,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:02.977Z,2.0581303197073213,1.0005624296962878,1.793738347204563,2.0581303197073213,-0.26439197250275837,0.026906075208068446,0.03,-0.003093924791931553,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:07.970Z,2.0665596817161243,1.0005624296962878,1.8000603687111651,2.0665596817161243,-0.2664993130049591,0.027000905530667477,0.03,-0.0029990944693325215,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:12.971Z,2.1382101797356876,1.0005624296962878,1.8537982422258377,2.1382101797356876,-0.28441193750984994,0.027806973633387567,0.03,-0.002193026366612432,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:17.973Z,2.226052460654083,1.0005624296962878,1.9196799529146342,2.226052460654083,-0.3063725077394488,0.028795199293719514,0.03,-0.0012048007062804844,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:22.975Z,2.230909529308426,1.0005624296962878,1.9233227544053915,2.230909529308426,-0.30758677490303454,0.02884984131608087,0.03,-0.001150158683919128,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:10:27.977Z,2.3984593813054076,1.0005624296962878,2.0489851434031277,2.3984593813054076,-0.34947423790227994,0.03,0.03,0.0,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
