timestamp,iv_minus_rv_pnl,iv_minus_static_pnl,iv_minus_rv_inventory,iv_minus_static_inventory,iv_minus_rv_drawdown,iv_minus_static_drawdown
2026-08-24T06:59:59.569Z,2.096230000000002,-26.35541,0.0,-0.043399999999999994,-0.6333200000000012,26.82938
2026-08-24T07:00:04.570Z,2.096230000000002,-26.35541,0.0,-0.043399999999999994,-0.6333200000000012,26.82938
2026-08-24T07:00:09.572Z,2.096230000000002,-26.290309999999998,0.0,-0.043399999999999994,-0.6333200000000012,26.76428
2026-08-24T07:00:14.575Z,2.096230000000002,-26.290309999999998,0.0,-0.043399999999999994,-0.6333200000000012,26.76428
2026-08-24T07:00:19.575Z,2.096230000000002,-27.37531,0.0,-0.043399999999999994,-0.6333200000000012,27.83728
2026-08-24T07:00:24.575Z,2.0962299999999985,-27.81113,0.0,-0.0436,-0.6333199999999977,28.2083
2026-08-24T07:00:29.578Z,2.0962299999999985,-27.854730000000004,0.0,-0.0436,-0.6333200000000012,28.2519
2026-08-24T07:00:34.577Z,2.096230000000002,-27.985529999999997,0.0,-0.0436,-0.6333200000000012,28.3827
2026-08-24T07:00:39.579Z,2.0962299999999985,-27.702130000000004,0.0,-0.0436,-0.6333200000000012,28.0993
2026-08-24T07:00:44.580Z,2.0962299999999985,-27.702130000000004,0.0,-0.0436,-0.6333200000000012,28.0993
2026-08-24T07:00:49.581Z,2.096230000000002,-27.985529999999997,0.0,-0.0436,-0.6333200000000012,28.3827
2026-08-24T07:00:54.583Z,2.0962299999999985,-28.50873,0.0,-0.0436,-0.6333200000000012,28.9059
2026-08-24T07:00:59.584Z,2.0962299999999985,-28.50873,0.0,-0.0436,-0.6333200000000012,28.9059
2026-08-24T07:01:04.585Z,2.096230000000002,-28.268929999999997,0.0,-0.0436,-0.6333200000000012,28.6661
2026-08-24T07:01:09.586Z,2.096230000000002,-27.76753,0.0,-0.0436,-0.6333200000000012,28.1647
2026-08-24T07:01:14.588Z,2.0962299999999985,-27.65853,0.0,-0.0436,-0.6333199999999977,28.0557
2026-08-24T07:01:19.589Z,2.096230000000002,-27.745730000000002,0.0,-0.0436,-0.6333199999999977,28.1429
2026-08-24T07:01:24.593Z,2.096230000000002,-27.745730000000002,0.0,-0.0436,-0.6333199999999977,28.1429
2026-08-24T07:01:29.594Z,2.0962299999999985,-27.723930000000003,0.0,-0.0436,-0.6333200000000012,28.1211
2026-08-24T07:01:34.596Z,2.0962299999999985,-27.723930000000003,0.0,-0.0436,-0.6333200000000012,28.1211
2026-08-24T07:01:39.596Z,2.096230000000002,-27.745730000000002,0.0,-0.0436,-0.6333199999999977,28.1429
2026-08-24T07:01:44.599Z,2.096230000000002,-27.745730000000002,0.0,-0.0436,-0.6333199999999977,28.1429
2026-08-24T07:01:49.600Z,2.096230000000002,-27.244329999999998,0.0,-0.0436,-0.6333199999999977,27.6415
2026-08-24T07:01:54.602Z,2.0962299999999985,-27.63673,0.0,-0.0436,-0.6333200000000012,28.0339
2026-08-24T07:01:59.602Z,2.0962299999999985,-27.63673,0.0,-0.0436,-0.6333200000000012,28.0339
2026-08-24T07:02:04.605Z,2.0962299999999985,-27.571330000000003,0.0,-0.0436,-0.6333200000000012,27.9685
2026-08-24T07:02:09.605Z,2.096230000000002,-27.113529999999997,0.0,-0.0436,-0.6333200000000012,27.5107
2026-08-24T07:02:14.606Z,2.096230000000002,-27.04813,0.0,-0.0436,-0.6333200000000012,27.4453
2026-08-24T07:02:19.608Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:24.610Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:29.613Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:34.632Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:39.613Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:44.615Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:49.618Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:54.620Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:02:59.621Z,2.096230000000002,-26.808329999999998,0.0,-0.0436,-0.6333199999999977,27.2055
2026-08-24T07:03:04.622Z,2.0962299999999985,-26.342150000000004,0.0,-0.0314,-0.6333200000000012,26.73932
2026-08-24T07:03:09.622Z,2.0962299999999985,-26.342150000000004,0.0,-0.0314,-0.6333200000000012,26.73932
2026-08-24T07:03:14.626Z,2.096230000000002,-26.37355,0.0,-0.0314,-0.6333199999999977,26.77072
2026-08-24T07:03:19.624Z,2.096230000000002,-26.37355,0.0,-0.0314,-0.6333199999999977,26.77072
2026-08-24T07:03:24.625Z,2.096230000000002,-26.37355,0.0,-0.0314,-0.6333199999999977,26.77072
2026-08-24T07:03:29.627Z,2.096230000000002,-26.530549999999998,0.0,-0.0314,-0.6333199999999977,26.92772
2026-08-24T07:03:34.628Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:03:39.630Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:03:44.632Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:03:49.636Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:03:54.636Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:03:59.637Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:04:04.640Z,2.0962299999999985,-26.656150000000004,0.0,-0.0314,-0.6333200000000012,27.05332
2026-08-24T07:04:09.640Z,2.0962299999999985,-27.095750000000002,0.0,-0.0314,-0.6333199999999977,27.49292
2026-08-24T07:04:14.640Z,2.096230000000002,-27.17425,0.0,-0.0314,-0.6333200000000012,27.57142
2026-08-24T07:04:19.642Z,2.096230000000002,-27.53535,0.0,-0.0314,-0.6333200000000012,27.93252
2026-08-24T07:04:24.644Z,2.0962299999999985,-27.551050000000004,0.0,-0.0314,-0.6333200000000012,27.94822
2026-08-24T07:04:29.645Z,2.0962299999999985,-28.144370000000002,0.0,-0.0436,-0.6333199999999977,28.54154
2026-08-24T07:04:34.646Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:04:39.648Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:04:44.650Z,2.0962299999999985,-27.817370000000004,0.0,-0.0436,-0.6333200000000012,28.21454
2026-08-24T07:04:49.653Z,2.0962299999999985,-27.62117,0.0,-0.0436,-0.6333200000000012,28.01834
2026-08-24T07:04:54.654Z,2.0962299999999985,-27.59937,0.0,-0.0436,-0.6333200000000012,27.99654
2026-08-24T07:04:59.656Z,2.0962299999999985,-27.62117,0.0,-0.0436,-0.6333200000000012,28.01834
2026-08-24T07:05:04.660Z,2.0962299999999985,-27.46857,0.0,-0.0436,-0.6333200000000012,27.86574
2026-08-24T07:05:09.660Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:14.662Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:19.667Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:24.665Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:29.666Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:34.668Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:39.670Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:05:44.672Z,2.0962299999999985,-27.77377,0.0,-0.0436,-0.6333199999999977,28.17094
2026-08-24T07:05:49.674Z,2.0962299999999985,-27.77377,0.0,-0.0436,-0.6333199999999977,28.17094
2026-08-24T07:05:54.676Z,2.0962299999999985,-27.75197,0.0,-0.0436,-0.6333200000000012,28.14914
2026-08-24T07:05:59.678Z,2.0962299999999985,-27.75197,0.0,-0.0436,-0.6333200000000012,28.14914
2026-08-24T07:06:04.680Z,2.0962299999999985,-27.75197,0.0,-0.0436,-0.6333200000000012,28.14914
2026-08-24T07:06:09.683Z,2.096230000000002,-28.078969999999998,0.0,-0.0436,-0.6333199999999977,28.47614
2026-08-24T07:06:14.685Z,2.096230000000002,-28.078969999999998,0.0,-0.0436,-0.6333199999999977,28.47614
2026-08-24T07:06:19.687Z,2.096230000000002,-28.078969999999998,0.0,-0.0436,-0.6333199999999977,28.47614
2026-08-24T07:06:24.687Z,2.096230000000002,-28.078969999999998,0.0,-0.0436,-0.6333199999999977,28.47614
2026-08-24T07:06:29.689Z,2.0962299999999985,-27.839170000000003,0.0,-0.0436,-0.6333200000000012,28.23634
2026-08-24T07:06:34.691Z,2.0962299999999985,-27.686570000000003,0.0,-0.0436,-0.6333200000000012,28.08374
2026-08-24T07:06:39.691Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:06:44.693Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:06:49.695Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:06:54.697Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:06:59.699Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:07:04.701Z,2.0962299999999985,-27.555770000000003,0.0,-0.0436,-0.6333199999999977,27.95294
2026-08-24T07:07:09.703Z,2.0962299999999985,-27.708370000000002,0.0,-0.0436,-0.6333199999999977,28.10554
2026-08-24T07:07:14.705Z,2.0962299999999985,-27.817370000000004,0.0,-0.0436,-0.6333200000000012,28.21454
2026-08-24T07:07:19.707Z,2.0962299999999985,-27.817370000000004,0.0,-0.0436,-0.6333200000000012,28.21454
2026-08-24T07:07:24.710Z,2.0962299999999985,-27.817370000000004,0.0,-0.0436,-0.6333200000000012,28.21454
2026-08-24T07:07:29.717Z,2.0962299999999985,-27.817370000000004,0.0,-0.0436,-0.6333200000000012,28.21454
2026-08-24T07:07:34.713Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:07:39.716Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:07:44.718Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:07:49.721Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:07:54.722Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:07:59.727Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:08:04.728Z,2.0962299999999985,-28.122570000000003,0.0,-0.0436,-0.6333200000000012,28.51974
2026-08-24T07:08:09.729Z,2.0962299999999985,-28.427770000000002,0.0,-0.0436,-0.6333199999999977,28.82494
